UT,Altitude,OrbitalSpeed,TrueAnom,EccAnomaly,MeanAnomaly,TrueLong
10266349.24,4282907.523,129688.113,169.202,168.969,168.733,259.361
10266349.42,4283002.861,129687.786,169.237,169.004,168.769,259.396
10266349.62,4283108.436,129687.424,169.275,169.043,168.809,259.435
10266349.78,4283192.625,129687.135,169.306,169.075,168.841,259.465
10266349.98,4283297.522,129686.775,169.344,169.114,168.881,259.504
10266350.16,4283391.609,129686.452,169.379,169.149,168.917,259.538
10266350.34,4283485.391,129686.130,169.414,169.185,168.953,259.573
10266350.54,4283589.235,129685.774,169.452,169.224,168.993,259.611
10266350.70,4283672.040,129685.490,169.483,169.255,169.025,259.642
10266350.90,4283775.208,129685.136,169.521,169.294,169.065,259.681
10266351.06,4283857.471,129684.853,169.552,169.326,169.097,259.711
10266351.26,4283959.962,129684.502,169.590,169.365,169.138,259.750
10266351.42,4284041.683,129684.221,169.621,169.397,169.170,259.781
10266351.62,4284143.496,129683.872,169.660,169.436,169.210,259.819
10266351.82,4284244.933,129683.524,169.698,169.475,169.250,259.857
10266352.02,4284345.993,129683.177,169.736,169.514,169.290,259.896
10266352.22,4284446.677,129682.831,169.775,169.554,169.330,259.934
10266352.38,4284526.953,129682.556,169.806,169.585,169.362,259.965
10266352.58,4284626.959,129682.213,169.844,169.624,169.402,260.003
10266352.78,4284726.588,129681.871,169.882,169.663,169.442,260.042
10266352.96,4284815.933,129681.564,169.917,169.699,169.478,260.076
10266353.14,4284904.972,129681.259,169.952,169.734,169.514,260.111
10266353.34,4285003.547,129680.920,169.990,169.773,169.554,260.150
10266353.52,4285091.942,129680.617,170.025,169.809,169.591,260.184
10266353.70,4285180.032,129680.315,170.059,169.844,169.627,260.219
10266353.90,4285277.551,129679.980,170.098,169.883,169.667,260.257
10266354.10,4285374.694,129679.647,170.136,169.923,169.707,260.296
10266354.26,4285452.137,129679.381,170.167,169.954,169.739,260.326
10266354.46,4285548.601,129679.050,170.205,169.993,169.779,260.365
10266354.62,4285625.501,129678.786,170.236,170.025,169.811,260.395
10266354.82,4285721.287,129678.457,170.274,170.064,169.851,260.434
10266354.98,4285797.644,129678.195,170.305,170.095,169.883,260.465
10266355.14,4285873.760,129677.934,170.336,170.127,169.915,260.495
10266355.28,4285940.163,129677.706,170.363,170.154,169.943,260.522
10266355.46,4286025.267,129677.414,170.397,170.189,169.979,260.557
10266355.66,4286119.469,129677.090,170.436,170.229,170.019,260.595
10266355.82,4286194.559,129676.833,170.467,170.260,170.051,260.626
10266356.02,4286288.081,129676.512,170.505,170.299,170.092,260.665
10266356.20,4286371.929,129676.224,170.540,170.335,170.128,260.699
10266356.38,4286455.471,129675.937,170.574,170.370,170.164,260.734
10266356.58,4286547.937,129675.620,170.613,170.409,170.204,260.772
10266356.74,4286621.638,129675.367,170.643,170.441,170.236,260.803
10266356.94,4286713.425,129675.052,170.682,170.480,170.276,260.841
10266357.14,4286804.834,129674.738,170.720,170.519,170.316,260.880
10266357.30,4286877.690,129674.488,170.751,170.551,170.348,260.910
10266357.50,4286968.420,129674.177,170.789,170.590,170.388,260.949
10266357.68,4287049.753,129673.898,170.824,170.625,170.424,260.983
10266357.86,4287130.781,129673.620,170.859,170.660,170.460,261.018
10266358.04,4287211.503,129673.343,170.893,170.696,170.496,261.052
10266358.22,4287291.919,129673.067,170.928,170.731,170.533,261.087
10266358.42,4287380.912,129672.761,170.966,170.770,170.573,261.126
10266358.58,4287451.834,129672.518,170.997,170.802,170.605,261.156
10266358.78,4287540.146,129672.215,171.035,170.841,170.645,261.195
10266358.96,4287619.304,129671.943,171.070,170.876,170.681,261.229
10266359.14,4287698.156,129671.672,171.104,170.912,170.717,261.264
10266359.34,4287785.410,129671.373,171.143,170.951,170.757,261.302
10266359.50,4287854.941,129671.134,171.174,170.982,170.789,261.333
10266359.70,4287941.515,129670.837,171.212,171.022,170.829,261.372
10266359.90,4288027.711,129670.541,171.250,171.061,170.869,261.410
10266360.08,4288104.964,129670.276,171.285,171.096,170.905,261.444
10266360.26,4288181.911,129670.012,171.320,171.132,170.941,261.479
10266360.46,4288267.048,129669.720,171.358,171.171,170.981,261.518
10266360.62,4288334.885,129669.487,171.389,171.202,171.014,261.548
10266360.82,4288419.342,129669.197,171.427,171.241,171.054,261.587
10266361.00,4288495.029,129668.937,171.462,171.277,171.090,261.621
10266361.14,4288553.685,129668.736,171.489,171.304,171.118,261.648
10266361.30,4288620.494,129668.507,171.519,171.336,171.150,261.679
10266361.50,4288703.664,129668.221,171.558,171.375,171.190,261.718
10266361.66,4288769.928,129667.994,171.589,171.406,171.222,261.748
10266361.84,4288844.185,129667.739,171.623,171.442,171.258,261.783
10266362.02,4288918.136,129667.485,171.658,171.477,171.294,261.817
10266362.18,4288983.613,129667.260,171.689,171.508,171.326,261.848
10266362.34,4289048.847,129667.036,171.719,171.540,171.358,261.879
10266362.50,4289113.839,129666.813,171.750,171.571,171.390,261.910
10266362.68,4289186.666,129666.563,171.785,171.606,171.426,261.944
10266362.86,4289259.186,129666.314,171.819,171.642,171.463,261.979
10266363.02,4289323.391,129666.094,171.850,171.673,171.495,262.010
